Measurement Time,Slope Movement,Moisture-15ft,Suction-15ft,Temp-15ft,Moisture-10ft,Suction-10ft,Temp-10ft,Moisture-5ft,Suction-5ft,Temp-5ft,Precipitation,Pre1_Precip,Pre2_Precip,Pre3_Precip,sum_2days_Precip,sum_3days_Precip,sum_4days_Precip,sum_5days_Precip,sum_6days_Precip,sum_7days_Precip,sum_14days_Precip,sum_21days_Precip,cum_Precip
2018-10-08 00:00:00,0,0.5038545,-10.70104389,70.16,0.513779333,-11.89942963,73.58,0.49611675,-11.98997582,78.8,0,0,0,0,0,0,0,0,0,0,76,80,89
2018-10-09 00:00:00,0.005378261,0.503748917,-10.70104389,70.16,0.513538,-11.89338463,73.58,0.4958,-12.00124067,78.8,0,0,0,0,0,0,0,0,0,0,76,80,89
2018-10-10 00:00:00,0.010756522,0.503024917,-10.70104389,70.16,0.513372083,-11.80981587,73.58,0.495649167,-12.00124067,78.8,0,0,0,0,0,0,0,0,0,0,70,80,89
2018-10-11 00:00:00,0.016134783,0.502753417,-10.70104389,70.16,0.513538,-11.80119931,73.58,0.495453083,-12.00377495,78.68,0,0,0,0,0,0,0,0,0,0,18,80,89
2018-10-12 00:00:00,0.021513043,0.502843917,-10.70104389,70.16,0.513507833,-11.80119931,73.6925,0.494879917,-12.07101919,78.62,0,0,0,0,0,0,0,0,0,0,0,80,89
2018-10-13 00:00:00,0.026891304,0.50272325,-10.70104389,70.16,0.513341917,-11.80119931,73.76,0.494382167,-12.10113609,78.62,0,0,0,0,0,0,0,0,0,0,0,80,89
2018-10-14 00:00:00,0.032269565,0.502874083,-10.70104389,70.16,0.51294975,-11.73217567,73.76,0.494352,-12.10927511,78.62,0,0,0,0,0,0,0,0,0,0,0,80,89
2018-10-15 00:00:00,0.037647826,0.502708167,-10.70104389,70.16,0.512964833,-11.7010853,73.76,0.494352,-12.19542947,78.4475,0,0,0,0,0,0,0,0,0,0,0,76,89
2018-10-16 00:00:00,0.043026087,0.502316,-10.70104389,70.16,0.5130855,-11.7010853,73.76,0.494336917,-12.23077215,78.38,0,0,0,0,0,0,0,0,0,0,0,76,89
2018-10-17 00:00:00,0.048404348,0.502285833,-10.70104389,70.16,0.512753667,-11.64963896,73.76,0.494714,-12.30059573,78.26,5,0,0,0,0,0,0,0,0,0,0,70,94
2018-10-18 00:00:00,0.053782609,0.502255667,-10.70104389,70.16,0.512557583,-11.59914948,73.76,0.494050333,-12.38399191,78.125,0,5,0,0,5,5,5,5,5,5,5,23,94
2018-10-19 00:00:00,0.05916087,0.502331083,-10.70104389,70.16,0.51186375,-11.59914948,73.7675,0.493235833,-12.45947067,78.0125,0,0,5,0,5,5,5,5,5,5,5,5,94
2018-10-20 00:00:00,0.06453913,0.501788083,-10.70104389,70.16,0.511728,-11.59914948,73.94,0.492964333,-12.54379491,77.825,0,0,0,5,0,5,5,5,5,5,5,5,94
2018-10-21 00:00:00,0.069917391,0.501878583,-10.70104389,70.16,0.511728,-11.59725893,73.94,0.492662667,-12.62709468,77.63,0,0,0,0,0,0,5,5,5,5,5,5,94
2018-10-22 00:00:00,0.075295652,0.501984167,-10.70104389,70.16,0.511426333,-11.51844687,73.94,0.491848167,-12.7410137,77.4275,0,0,0,0,0,0,0,5,5,5,5,5,94
2018-10-23 00:00:00,0.080673913,0.502346167,-10.70104389,70.16,0.51104925,-11.50074953,73.94,0.491456,-12.88057125,77.225,0,0,0,0,0,0,0,0,5,5,5,5,94
2018-10-24 00:00:00,0.086052174,0.501833333,-10.70104389,70.16,0.510898417,-11.50074953,73.94,0.490882833,-13.04229485,77.06,0,0,0,0,0,0,0,0,0,5,5,5,94
2018-10-25 00:00:00,0.091430435,0.501335583,-10.70104389,70.16,0.51095875,-11.50074953,73.94,0.4913655,-13.19399886,76.7975,17,0,0,0,0,0,0,0,0,0,5,5,111
2018-10-26 00:00:00,0.096808696,0.501531667,-10.70104389,70.16,0.511728,-11.49788304,73.94,0.491305167,-13.24009872,76.5575,0,17,0,0,17,17,17,17,17,17,22,22,111
2018-10-27 00:00:00,0.102186957,0.5022255,-10.70104389,70.16,0.511728,-11.41250233,73.94,0.490294583,-13.34762472,76.325,0,0,17,0,17,17,17,17,17,17,22,22,111
2018-10-28 00:00:00,0.107565217,0.50208975,-10.70104389,70.16,0.511728,-11.40055897,73.94,0.489449917,-13.52708264,76.0625,0,0,0,17,0,17,17,17,17,17,22,22,111
2018-10-29 00:00:00,0.112943478,0.5020445,-10.70104389,70.16,0.511728,-11.40055897,73.94,0.488665583,-13.73209948,75.83,0,0,0,0,0,0,17,17,17,17,22,22,111
2018-10-30 00:00:00,0.118321739,0.50199925,-10.70104389,70.16,0.511728,-11.38549731,73.94,0.48797175,-13.9565862,75.605,0,0,0,0,0,0,0,17,17,17,22,22,111
2018-10-31 00:00:00,0.1237,0.502014333,-10.70104389,70.16,0.511366,-11.30243454,73.955,0.487112,-14.1421735,75.365,1,0,0,0,0,0,0,0,17,17,22,22,112
2018-11-01 00:00:00,0.116484615,0.5005965,-10.70104389,70.16,0.511652583,-11.30124123,74.06,0.488741,-13.87800066,75.2,33,1,0,0,1,1,1,1,1,18,18,23,145
2018-11-02 00:00:00,0.109269231,0.500868,-10.70104389,70.16,0.511728,-11.30124123,74.12,0.488439333,-13.71308661,75.035,0,33,1,0,34,34,34,34,34,34,51,56,145
2018-11-03 00:00:00,0.102053846,0.500687,-10.70104389,70.16,0.511728,-11.30113282,74.03,0.488198,-13.80454531,74.9375,0,0,33,1,33,34,34,34,34,34,51,56,145
2018-11-04 00:00:00,0.094838462,0.500475833,-10.70104389,70.16,0.511743083,-11.23848588,73.94,0.4881075,-13.89743302,74.84,11,0,0,33,0,33,34,34,34,34,51,56,156
2018-11-05 00:00:00,0.087623077,0.500144,-10.70104389,70.16,0.511728,-11.20020947,73.94,0.487851083,-13.90036311,74.6675,0,11,0,0,11,11,44,45,45,45,62,67,156
2018-11-06 00:00:00,0.080407692,0.499963,-10.70104389,70.16,0.511758167,-11.20020947,73.94,0.488394083,-13.72452063,74.435,6,0,11,0,11,11,11,44,45,45,62,67,162
2018-11-07 00:00:00,0.073192308,0.5020445,-10.70104389,70.16,0.517173083,-11.03422902,74.0375,0.501214917,-11.87297225,73.7075,35,6,0,11,6,17,17,17,50,51,68,73,197
2018-11-08 00:00:00,0.065976923,0.504126,-10.70104389,70.16,0.522014833,-10.89999115,74.12,0.509918,-11.07180079,73.76,11,35,6,0,41,41,52,52,52,85,103,103,208
2018-11-09 00:00:00,0.058761538,0.504141083,-10.70104389,70.16,0.522226,-10.84852323,73.985,0.509405167,-10.97277811,73.64,17,11,35,6,46,52,52,63,63,63,97,114,225
