Measurement Time,Slope Movement,Moisture-15ft,Suction-15ft,Temp-15ft,Moisture-10ft,Suction-10ft,Temp-10ft,Moisture-5ft,Suction-5ft,Temp-5ft,Air Temp,Precipitation,Pre1_Precip,Pre2_Precip,Pre3_Precip,sum_2days_Precip,sum_3days_Precip,sum_4days_Precip,sum_5days_Precip,sum_6days_Precip,sum_7days_Precip,sum_14days_Precip,sum_21days_Precip,cum_Precip
2018-10-06 00:00:00,0,0.436356583,-10.50089087,73.4,0.423038,-11.1722045,76.82,0.459177667,-10.39982772,80,78.11064175,0,0,0,0,0,0,0,0,0,0,81,81,214
2018-10-07 00:00:00,0.001748,0.436432,-10.50089087,73.4,0.423038,-11.17831856,76.82,0.458212333,-10.39982772,79.88,79.62050029,0,0,0,0,0,0,0,0,0,0,75,81,214
2018-10-08 00:00:00,0.003496,0.435723083,-10.50089087,73.4,0.423038,-11.18872312,76.82,0.457609,-10.39793342,79.88,79.81867851,0,0,0,0,0,0,0,0,0,0,68,81,214
2018-10-09 00:00:00,0.005244,0.435195167,-10.50089087,73.4,0.423022917,-11.1997797,76.82,0.45783525,-10.33480602,79.88,79.26270878,0,0,0,0,0,0,0,0,0,0,68,81,214
2018-10-10 00:00:00,0.006992,0.435406333,-10.50089087,73.5125,0.42299275,-11.20010203,76.82,0.455587833,-10.29993489,79.88,77.99025666,0,0,0,0,0,0,0,0,0,0,59,81,214
2018-10-11 00:00:00,0.00874,0.4359795,-10.50089087,73.58,0.423038,-11.16053871,76.82,0.455195667,-10.29973723,79.88,67.61894036,0,0,0,0,0,0,0,0,0,0,17,81,214
2018-10-12 00:00:00,0.010488,0.435964417,-10.50089087,73.58,0.422962583,-11.14651065,76.82,0.453084,-10.29973723,79.88,65.71648225,0,0,0,0,0,0,0,0,0,0,0,81,214
2018-10-13 00:00:00,0.012236,0.435904083,-10.50089087,73.58,0.422932417,-11.1365735,76.82,0.458121833,-10.29973723,79.88,70.52203899,0,0,0,0,0,0,0,0,0,0,0,81,214
2018-10-14 00:00:00,0.013984,0.436100167,-10.50089087,73.58,0.423038,-11.13177433,76.82,0.45855925,-10.29973723,79.8575,77.64563032,0,0,0,0,0,0,0,0,0,0,0,75,214
2018-10-15 00:00:00,0.015732,0.436401833,-10.50089087,73.58,0.423038,-11.10008093,76.82,0.458031333,-10.29973723,79.7,75.61365997,0,0,0,0,0,0,0,0,0,0,0,68,214
2018-10-16 00:00:00,0.01748,0.436009667,-10.50089087,73.58,0.423038,-11.10008093,76.82,0.457639167,-10.29973723,79.5575,60.68316254,1,0,0,0,0,0,0,0,0,0,0,68,215
2018-10-17 00:00:00,0.019228,0.435738167,-10.50048793,73.64,0.42335475,-11.10008093,76.82,0.457458167,-10.27351222,79.46,60.95625946,3,1,0,0,1,1,1,1,1,1,1,60,218
2018-10-18 00:00:00,0.020976,0.435496833,-10.50058869,73.76,0.423203917,-11.10008093,76.82,0.457066,-10.21314844,79.34,64.45673192,0,3,1,0,4,4,4,4,4,4,4,21,218
2018-10-19 00:00:00,0.022724,0.436175583,-10.50058869,73.76,0.422857,-11.10008093,76.82,0.4555275,-10.20109947,79.0325,70.10020652,0,0,3,1,3,4,4,4,4,4,4,4,218
2018-10-20 00:00:00,0.024472,0.436432,-10.50089087,73.76,0.422977667,-11.10008093,76.82,0.454366083,-10.20061004,78.755,65.42250651,0,0,0,3,0,3,4,4,4,4,4,4,218
2018-10-21 00:00:00,0.02622,0.436432,-10.50089087,73.76,0.423038,-11.10008093,76.82,0.454275583,-10.20061004,78.5,56.40670011,0,0,0,0,0,0,3,4,4,4,4,4,218
2018-10-22 00:00:00,0.027968,0.43620575,-10.50089087,73.76,0.423038,-11.10008093,76.7375,0.453446,-10.20061004,78.2075,56.92648809,0,0,0,0,0,0,0,3,4,4,4,4,218
2018-10-23 00:00:00,0.029716,0.435647667,-10.50089087,73.76,0.423038,-11.10008093,76.64,0.45222425,-10.20061004,77.945,61.10516758,0,0,0,0,0,0,0,0,3,4,4,4,218
2018-10-24 00:00:00,0.031464,0.436266083,-10.50089087,73.76,0.423038,-11.10008093,76.64,0.451666167,-10.20061004,77.63,62.26837276,0,0,0,0,0,0,0,0,0,3,4,4,218
2018-10-25 00:00:00,0.033212,0.43738225,-10.4503593,73.76,0.424878167,-11.0297906,76.64,0.4522695,-10.13175426,77.2775,61.40518123,19,0,0,0,0,0,0,0,0,0,4,4,237
2018-10-26 00:00:00,0.03496,0.437518,-10.39982772,73.76,0.424682083,-11.00084752,76.64,0.452103583,-10.10020788,77.0075,57.40381112,0,19,0,0,19,19,19,19,19,19,23,23,237
2018-10-27 00:00:00,0.036708,0.436628083,-10.39982772,73.76,0.424108917,-11.00084752,76.5875,0.458453667,-10.10011096,76.685,59.88922435,0,0,19,0,19,19,19,19,19,19,23,23,237
2018-10-28 00:00:00,0.038456,0.436432,-10.39982772,73.76,0.423369833,-11.00084752,76.46,0.45892125,-10.10011096,76.3475,69.19073222,0,0,0,19,0,19,19,19,19,19,23,23,237
2018-10-29 00:00:00,0.040204,0.436432,-10.39982772,73.76,0.423038,-11.00084752,76.46,0.458544167,-10.10011096,75.995,71.69949206,0,0,0,0,0,0,19,19,19,19,23,23,237
2018-10-30 00:00:00,0.041952,0.436432,-10.39982772,73.76,0.423022917,-11.00084752,76.3775,0.455467167,-10.10011096,75.6575,71.18966931,0,0,0,0,0,0,0,19,19,19,23,23,237
2018-10-31 00:00:00,0.0437,0.43584375,-10.39982772,73.76,0.422600583,-10.99422213,76.28,0.4548035,-10.10011096,75.3725,73.01400494,4,0,0,0,0,0,0,0,19,19,22,23,241
2018-11-01 00:00:00,0.040515385,0.43647725,-10.38700845,73.9025,0.424048583,-10.90020032,76.265,0.455195667,-10.09633639,75.1475,63.90340342,36,4,0,0,4,4,4,4,4,23,23,27,277
2018-11-02 00:00:00,0.037330769,0.437548167,-10.39982772,73.94,0.423158667,-10.89999115,76.1,0.454833667,-10.09933584,75.02,58.35389879,0,36,4,0,40,40,40,40,40,40,59,63,277
2018-11-03 00:00:00,0.034146154,0.43711075,-10.39982772,73.94,0.422887167,-10.89999115,76.0775,0.4555275,-10.08578392,74.8475,62.53379843,0,0,36,4,36,40,40,40,40,40,59,63,277
2018-11-04 00:00:00,0.030961538,0.437337,-10.39982772,73.94,0.42335475,-10.88413562,75.92,0.45593475,-10.03197248,74.735,57.98029216,12,0,0,36,0,36,40,40,40,40,59,63,289
2018-11-05 00:00:00,0.027776923,0.43738225,-10.39982772,73.94,0.422977667,-10.89664699,75.8975,0.45575375,-10.00060203,74.435,65.14752452,0,12,0,0,12,12,48,52,52,52,71,75,289
2018-11-06 00:00:00,0.024592308,0.437683917,-10.39982772,73.94,0.423068167,-10.82627261,75.74,0.454426417,-10.00069799,74.1425,71.58992546,7,0,12,0,12,12,12,48,52,52,71,75,296
2018-11-07 00:00:00,0.021407692,0.437699,-10.39982772,73.94,0.423505583,-10.81750355,75.7025,0.456236417,-10.00060203,73.8425,62.23041417,26,7,0,12,7,19,19,19,55,59,78,81,322
2018-11-08 00:00:00,0.018223077,0.43788,-10.39982772,73.94,0.4234,-10.80005943,75.56,0.455406833,-10.00060203,73.64,55.85492293,8,26,7,0,33,33,45,45,45,81,104,104,330
2018-11-09 00:00:00,0.015038462,0.43801575,-10.39982772,73.94,0.423792167,-10.78477534,75.5075,0.4548035,-10.00060203,73.46,51.27933291,19,8,26,7,34,41,41,53,53,53,93,112,349
2018-11-10 00:00:00,0.011853846,0.437668833,-10.39982772,73.94,0.423234083,-10.80005943,75.38,0.454773333,-10.00060203,73.28,46.66773138,0,19,8,26,27,53,60,60,72,72,112,131,349
2018-11-11 00:00:00,0.008669231,0.436733667,-10.39982772,73.94,0.422329083,-10.7941736,75.29,0.454728083,-10.00060203,73.04,50.30984926,8,0,19,8,19,27,53,60,60,72,112,131,357
2018-11-12 00:00:00,0.005484615,0.438392833,-10.39982772,73.94,0.42398825,-10.70104389,75.2,0.453883417,-9.964352336,72.7175,50.54048552,81,8,0,19,8,27,35,61,68,68,120,139,438
2018-11-13 00:00:00,0.0023,0.437819667,-10.39982772,73.94,0.423279333,-10.70104389,75.0875,0.4549845,-9.953625078,72.3125,39.53831813,0,81,8,0,89,89,108,116,142,149,201,220,438
2018-11-14 00:00:00,0.002213636,0.436959917,-10.39982772,73.94,0.422826833,-10.70104389,75.02,0.456326917,-9.927767399,71.87,34.01299688,1,0,81,8,81,89,89,108,116,142,201,220,439
2018-11-15 00:00:00,0.002127273,0.436763833,-10.39982772,73.94,0.422314,-10.70104389,74.855,0.455949833,-9.900078709,71.4275,41.32072172,0,1,0,81,1,82,90,90,109,117,198,221,439
2018-11-16 00:00:00,0.002040909,0.437397333,-10.39982772,73.94,0.421891667,-10.70104389,74.8025,0.455075,-9.899793715,70.925,51.13357922,0,0,1,0,1,1,82,90,90,109,162,202,439
2018-11-17 00:00:00,0.001954545,0.437578333,-10.39982772,73.81166667,0.421650333,-10.70104389,74.66,0.457096167,-9.899793715,70.37,52.29734316,0,0,0,1,0,1,1,82,90,90,162,202,439
2018-11-18 00:00:00,0.001868182,0.437699,-10.39982772,73.8,0.422148083,-10.70104389,74.4575,0.456161,-9.899793715,69.8,55.80839977,0,0,0,0,0,0,1,1,82,90,162,202,439
2018-11-19 00:00:00,0.001781818,0.437533083,-10.39982772,73.8,0.423038,-10.70104389,74.2925,0.456176083,-9.899793715,69.2675,52.41965876,0,0,0,0,0,0,0,1,1,82,150,202,439
2018-11-20 00:00:00,0.001695455,0.43788,-10.39982772,73.8,0.423143583,-10.70104389,74.12,0.45674925,-9.886901111,68.8325,52.3034432,0,0,0,0,0,0,0,0,1,1,150,202,439
2018-11-21 00:00:00,0.001609091,0.43788,-10.39982772,73.8,0.423324583,-10.68443416,73.985,0.4533555,-9.835068181,68.45,49.39142964,0,0,0,0,0,0,0,0,0,1,143,202,439
2018-11-22 00:00:00,0.001522727,0.437683917,-10.35407335,73.75416667,0.423188833,-10.62994282,73.8125,0.45285775,-9.804611723,68.1425,53.13755574,0,0,0,0,0,0,0,0,0,0,117,198,439
2018-11-23 00:00:00,0.001436364,0.437171083,-10.3,73.7,0.42344525,-10.60476848,73.655,0.4555275,-9.800001568,67.835,50.84579887,11,0,0,0,0,0,0,0,0,0,109,162,450
2018-11-24 00:00:00,0.00135,0.438121333,-10.3,73.7,0.4247575,-10.60049499,73.49,0.458167083,-9.800001568,67.535,61.04764438,0,11,0,0,11,11,11,11,11,11,101,173,450
2018-11-25 00:00:00,0.001263636,0.437548167,-10.3,73.7,0.424124,-10.60049499,73.31,0.45403425,-9.800001568,67.265,58.31973828,0,0,11,0,11,11,11,11,11,11,101,173,450
2018-11-26 00:00:00,0.001177273,0.43788,-10.3,73.7,0.424486,-10.59836026,73.145,0.45430575,-9.800001568,66.8825,46.16203621,0,0,0,11,0,11,11,11,11,11,93,161,450
